Coverage,Effectiveness,Targeted Patients,Program Cost,Readmissions Avoided,Savings,Net Benefit,ROI
25%,10%,5061,3795750,91.5,1372500.0,-2423250.0,-0.6384113811499703
25%,15%,5061,3795750,137.2,2058750.0,-1737000.0,-0.4576170717249555
25%,20%,5061,3795750,183.0,2745000.0,-1050750.0,-0.27682276229994074
50%,10%,10122,7591500,183.0,2745000.0,-4846500.0,-0.6384113811499703
50%,15%,10122,7591500,274.5,4117500.0,-3474000.0,-0.4576170717249555
50%,20%,10122,7591500,366.0,5490000.0,-2101500.0,-0.27682276229994074
75%,10%,15183,11387250,274.5,4117500.0,-7269750.0,-0.6384113811499703
75%,15%,15183,11387250,411.8,6176250.0,-5211000.0,-0.4576170717249555
75%,20%,15183,11387250,549.0,8235000.0,-3152250.0,-0.27682276229994074
100%,10%,20245,15183750,366.0,5490000.0,-9693750.0,-0.6384292417880958
100%,15%,20245,15183750,549.0,8235000.0,-6948750.0,-0.45764386268214374
100%,20%,20245,15183750,732.0,10980000.0,-4203750.0,-0.27685848357619164
