Reduction,Cost Scenario,Readmissions Avoided,Savings,Savings (Millions)
5%,Conservative,471,4716500.0,4.7165
5%,Moderate,471,7074750.000000001,7.074750000000001
5%,Aggressive,471,9433000.0,9.433
10%,Conservative,943,9433000.0,9.433
10%,Moderate,943,14149500.000000002,14.149500000000002
10%,Aggressive,943,18866000.0,18.866
15%,Conservative,1414,14149500.0,14.1495
15%,Moderate,1414,21224250.0,21.22425
15%,Aggressive,1414,28299000.0,28.299
20%,Conservative,1886,18866000.0,18.866
20%,Moderate,1886,28299000.000000004,28.299000000000003
20%,Aggressive,1886,37732000.0,37.732
25%,Conservative,2358,23582500.0,23.5825
25%,Moderate,2358,35373750.0,35.37375
25%,Aggressive,2358,47165000.0,47.165
